TITLE "Generated by Foundry::LUT"
LUT_3D_SIZE 32
0.226929 0.698242 0.000000
0.260986 0.698242 0.000000
0.295166 0.698242 0.000000
0.328857 0.698242 0.000000
0.362793 0.698242 0.000000
0.397705 0.698242 0.000000
0.432373 0.698242 0.000000
0.466309 0.698242 0.000000
0.499756 0.698242 0.000000
0.533203 0.698242 0.000000
0.566895 0.698242 0.000000
0.600586 0.698242 0.000000
0.634766 0.698242 0.000000
0.668945 0.698242 0.000000
0.703125 0.698242 0.000000
0.736816 0.698242 0.000000
0.771484 0.698242 0.000000
0.805664 0.698242 0.000000
0.839844 0.698242 0.000000
0.874023 0.698242 0.000000
0.907715 0.698242 0.000000
0.940430 0.698242 0.000000
0.972168 0.698242 0.000000
1.000000 0.698242 0.000000
0.000000 0.733398 0.000000
0.014786 0.733398 0.000000
0.038849 0.733398 0.000000
0.066589 0.733398 0.000000
0.096863 0.733398 0.000000
0.128540 0.733398 0.000000
0.160767 0.733398 0.000000
0.193237 0.733398 0.000000
0.226929 0.733398 0.000000
0.260986 0.733398 0.000000
0.295166 0.733398 0.000000
0.328857 0.733398 0.000000
0.362793 0.733398 0.000000
0.397705 0.733398 0.000000
0.432373 0.733398 0.000000
0.466309 0.733398 0.000000
0.499756 0.733398 0.000000
0.533203 0.733398 0.000000
0.566895 0.733398 0.000000
0.600586 0.733398 0.000000
0.634766 0.733398 0.000000
0.668945 0.733398 0.000000
0.703125 0.733398 0.000000
0.736816 0.733398 0.000000
0.771484 0.733398 0.000000
0.805664 0.733398 0.000000
0.839844 0.733398 0.000000
0.874023 0.733398 0.000000
0.907715 0.733398 0.000000
0.940430 0.733398 0.000000
0.972168 0.733398 0.000000
1.000000 0.733398 0.000000
0.000000 0.769531 0.000000
0.014786 0.769531 0.000000
0.038849 0.769531 0.000000
0.066589 0.769531 0.000000
0.096863 0.769531 0.000000
0.128540 0.769531 0.000000
0.160767 0.769531 0.000000
0.193237 0.769531 0.000000
0.226929 0.769531 0.000000
0.260986 0.769531 0.000000
0.295166 0.769531 0.000000
0.328857 0.769531 0.000000
0.362793 0.769531 0.000000
0.397705 0.769531 0.000000
0.432373 0.769531 0.000000
0.466309 0.769531 0.000000
0.499756 0.769531 0.000000
0.533203 0.769531 0.000000
0.566895 0.769531 0.000000
0.600586 0.769531 0.000000
0.634766 0.769531 0.000000
0.668945 0.769531 0.000000
0.703125 0.769531 0.000000
0.736816 0.769531 0.000000
0.771484 0.769531 0.000000
0.805664 0.769531 0.000000
0.839844 0.769531 0.000000
0.874023 0.769531 0.000000
0.907715 0.769531 0.000000
0.940430 0.769531 0.000000
0.972168 0.769531 0.000000
1.000000 0.769531 0.000000
0.000000 0.805176 0.000000
0.014786 0.805176 0.000000
0.038849 0.805176 0.000000
0.066589 0.805176 0.000000
0.096863 0.805176 0.000000
0.128540 0.805176 0.000000
0.160767 0.805176 0.000000
0.193237 0.805176 0.000000
0.226929 0.805176 0.000000
0.260986 0.805176 0.000000
0.295166 0.805176 0.000000
0.328857 0.805176 0.000000
0.362793 0.805176 0.000000
0.397705 0.805176 0.000000
0.432373 0.805176 0.000000
0.466309 0.805176 0.000000
0.499756 0.805176 0.000000
0.533203 0.805176 0.000000
0.566895 0.805176 0.000000
0.600586 0.805176 0.000000
0.634766 0.805176 0.000000
0.668945 0.805176 0.000000
0.703125 0.805176 0.000000
0.736816 0.805176 0.000000
0.771484 0.805176 0.000000
0.805664 0.805176 0.000000
0.839844 0.805176 0.000000
0.874023 0.805176 0.000000
0.907715 0.805176 0.000000
0.940430 0.805176 0.000000
0.972168 0.805176 0.000000
1.000000 0.805176 0.000000
0.000000 0.840332 0.000000
0.014786 0.840332 0.000000
0.038849 0.840332 0.000000
0.066589 0.840332 0.000000
0.096863 0.840332 0.000000
0.128540 0.840332 0.000000
0.160767 0.840332 0.000000
0.193237 0.840332 0.000000
0.226929 0.840332 0.000000
0.260986 0.840332 0.000000
0.295166 0.840332 0.000000
0.328857 0.840332 0.000000
0.362793 0.840332 0.000000
0.397705 0.840332 0.000000
0.432373 0.840332 0.000000
0.466309 0.840332 0.000000
0.499756 0.840332 0.000000
0.533203 0.840332 0.000000
0.566895 0.840332 0.000000
0.600586 0.840332 0.000000
0.634766 0.840332 0.000000
0.668945 0.840332 0.000000
0.703125 0.840332 0.000000
0.736816 0.840332 0.000000
0.771484 0.840332 0.000000
0.805664 0.840332 0.000000
0.839844 0.840332 0.000000
0.874023 0.840332 0.000000
0.907715 0.840332 0.000000
0.940430 0.840332 0.000000
0.972168 0.840332 0.000000
1.000000 0.840332 0.000000
0.000000 0.875977 0.000000
0.014786 0.875977 0.000000
0.038849 0.875977 0.000000
0.066589 0.875977 0.000000
0.096863 0.875977 0.000000
0.128540 0.875977 0.000000
0.160767 0.875977 0.000000
0.193237 0.875977 0.000000
0.226929 0.875977 0.000000
0.260986 0.875977 0.000000
0.295166 0.875977 0.000000
0.328857 0.875977 0.000000
0.362793 0.875977 0.000000
0.397705 0.875977 0.000000
0.432373 0.875977 0.000000
0.466309 0.875977 0.000000
0.499756 0.875977 0.000000
0.533203 0.875977 0.000000
0.566895 0.875977 0.000000
0.600586 0.875977 0.000000
0.634766 0.875977 0.000000
0.668945 0.875977 0.000000
0.703125 0.875977 0.000000
0.736816 0.875977 0.000000
0.771484 0.875977 0.000000
0.805664 0.875977 0.000000
0.839844 0.875977 0.000000
0.874023 0.875977 0.000000
0.907715 0.875977 0.000000
0.940430 0.875977 0.000000
0.972168 0.875977 0.000000
1.000000 0.875977 0.000000
0.000000 0.910156 0.000000
0.014786 0.910156 0.000000
0.038849 0.910156 0.000000
0.066589 0.910156 0.000000
0.096863 0.910156 0.000000
0.128540 0.910156 0.000000
0.160767 0.910156 0.000000
0.193237 0.910156 0.000000
0.226929 0.910156 0.000000
0.260986 0.910156 0.000000
0.295166 0.910156 0.000000
0.328857 0.910156 0.000000
0.362793 0.910156 0.000000
0.397705 0.910156 0.000000
0.432373 0.910156 0.000000
0.466309 0.910156 0.000000
0.499756 0.910156 0.000000
0.533203 0.910156 0.000000
0.566895 0.910156 0.000000
0.600586 0.910156 0.000000
0.634766 0.910156 0.000000
0.668945 0.910156 0.000000
0.703125 0.910156 0.000000
0.736816 0.910156 0.000000
0.771484 0.910156 0.000000
0.805664 0.910156 0.000000
0.839844 0.910156 0.000000
0.874023 0.910156 0.000000
